Afzelia quanzensis
Commiphora angolensis
Commiphora giessii
Commiphora mollis
Commiphora mossambicensis
Commiphora multijuga
Conicosia pugioniformis
Conyza scabrida
Corchorus asplenifolius
Corchorus olitorius
Corchorus tridens
Corchorus trilocularis
Cordia caffra
Cordia gharaf
Cordia sinensis
Cordyla africana
Crassula arborescens
Crinum bulbispermum
Crinum macowanii
Croton gratissimus
Croton megalobotrys
Cryptocarya wyliei
Cucumis africanus
Cucumis anguria
Cucumis anguria var. anguria
Cucumis anguria var. longipes
Cucumis kalahariensis
Cucumis metuliferus
Cucumis sativus
Cucumis zeyheri
Cucurbita pepo
Cullen obtusifolium
Curtisia dentata
Cussonia paniculata
Cussonia spicata
Cussonia thyrsiflora
Cyanella alba
Cyanella hyacinthoides
Cyanella lutea
Cyanotis speciosa
Dicerocaryum eriocarpum
Dichrostachys cinerea
Dicoma anomala
Dicoma capensis
Dicoma schinzii
Digitaria eriantha
Dioscorea bulbifera
Dioscorea cochleari-apiculata
Dioscorea dregeana
Dioscorea dumetorum
Dioscorea elephantipes
Dioscorea quartiniana
Dioscorea rupicola
Dioscorea schimperiana
Dioscorea sylvatica
Diosma hirsuta
Diospyros kirkii
Diospyros mespiliformis
Diospyros ramulosa
Diplorhynchus condylocarpon
Dodonaea angustifolia
Dolichos lablab
Dovyalis caffra
Dovyalis rhamnoides
Dovyalis zeyheri
Dracaena aletriformis
Dregea macrantha
Drimia robusta
Echinacea purpurea
Echinochloa crus-pavonis
Echinochloa stagnina
Ekebergia capensis
Elaeodendron croceum
Elaeodendron zeyheri
Elegia intermedia
Elegia juncea
Elephantorrhiza burkei
Elephantorrhiza elephantina
Elephantorrhiza goetzei
Eleusine africana
Eleusine coracana
Eleusine coracana subsp. coracana
Eleusine indica
Eleutherococcus senticosus
Elytropappus rhinocerotis
Encephalartos longifolius
Englerophytum magalismontanum
Englerophytum natalensis
Entada rheedii
Entandrophragma caudatum
Eragrostis chloromelas
Eragrostis cilianensis
Eragrostis curvula
Eragrostis lehmanniana
Eragrostis pallens
Eragrostis plana
Erianthemum dregei
Erica simii
Eriocephalus africanus
Eriocephalus punctulatus
Eriospermum abyssinicum
Erythrina caffra
Erythrina lysistemon
Erythroxylum coca
Eucalyptus camaldulensis
Eucalyptus diversicolor
Eucalyptus globulus
Eucalyptus grandis
Eucalyptus maculata
Eucalyptus microcorys
Euclea crispa
Euclea divinorum
Euclea natalensis
Euclea pseudebenus
Euclea undulata
Eucomis autumnalis
Eugenia albanensis
Euphorbia cooperi
Euphorbia decussata
Euphorbia ingens
Euphorbia kaokoensis
Euphorbia virosa
Exomis microphylla
Fagopyrum esculentum
Faidherbia albida
Faurea rochetiana
Faurea saligna
Faurea speciosa
Ferraria crispa
Ferraria divaricata
Ferraria glutinosa
Ficus carica
Ficus cordata
Ficus glumosa
Ficus guerichiana
Ficus natalensis
Ficus petersiana
Ficus sur
Ficus sycomorus
Ficus thonningii
Ficus vallis-choudae
Flueggea virosa
Fockea angustifolia
Fockea edulis
Fockea multiflora
Friesodielsia obovata
Galenia africana
Galium capense
Garcinia livingstonei
Gentiana lutea
Geranium incanum
Gibbaeum dispar
Gladiolus permeabilis subsp. edulis
Glia gummifera
Gloriosa superba
Glycyrrhiza glabra
Gnidia deserticola
Gnidia kraussiana
Gossypium arboreum
Gossypium barbadense
Gossypium herbaceum
Gossypium herbaceum subsp. africanum
Gossypium herbaceum subsp. herbaceum
Gossypium hirsutum
Grewia flava
Grewia flavescens
Grewia floccifera
Grewia microthyrsa
Grewia monticola
Grewia retimervis
Grewia retinervis
Grewia robusta
Grewia schincii
Grewia schinzii
Grewia tenax
Grewia villosa
Grielum humifusum
Guibourtia coleosperma
Guibourtia conjugata
Gunnera perpensa
Gymnosporia senegalensis
Haemanthus coccineus
Harpagophytum procumbens
Harpephyllum caffrum
Harpephyllum cajfrum
Hartogiella schinoides
Heeria argentea
Helianthus annuus
Helichrvsum tomentosulum
Helichrysum foetidum
Helichrysum odoratissimum
Helichrysum pedunculare
Helichrysum stenopterum
Helichrysum tomentosissimum
Helichrysum tomentosulum
Helinus integrifolius
Hemizvgia bracteosa
Hemizygia bracteosa
Heteromorpha arborescens
Heteropyxis natalensis
Hexaglottis longifolia
Hexalobus monopetalus
Hibiscus tihaceus
Hibiscus tiliaceus
Holarrhena pubescens
Hoodia currori
Hoodia currorii
Hoodia flava
Hoodia gordonii
Hoodia officinalis subsp. officinalis
Hoodia pilifera
Hordeum vulgare
Hyaenanche globosa
Hydnora africana
Imperata cylindrica
Indigofera antunesiana
Indigofera arrecta
Indigofera cryptantha
Indigofera demissa
Indigofera rautanenii
Indigofera rhynchocarpa
Indigofera tinctoria
Inhambanella henriquesii
Inhamhanella henrianesii
Ipomoca batatas
Ipomoca ommaneyi
Ipomoea alba
Ipomoea batatas
Ipomoea ommaneyi
Ipomoea pes-caprae
Ipomoea purpurea
Ipomoea tricolor
Ischaemum fasciculatum
Ischyrolepis leptoclados
Ischyrolepis sieberi
Jasminum fluminense
Jatropha curcas
Jatropha zeyheri
Julbernadia globifera
Julbernardia globiflora
Juncus kraussii
Juncus rigidus
Juniperus procera
Kedrostis africana
Kedrostis foetidissima
Kedrostis gijef
Kedrostis nana
Khadia acutipetala
Khadia alticola
Khaya anthotheca
Kigelia africana
Kirkia acuminata
Knowltonia vesicatoria
Kohautia amatymbica
Kyllinga alba
Lagenaria siceraria
Landolphia capensis
Lannea discolor
Lannea edulis
Lannea schweinfurthii var. stuhlmannii
Lippia javanica
Lippia scaberrima
Lobostemon fruticosus
Lobostemon laevigatus
Lonchocarpus nelsii
Loranthus dregei
Loranthus galpinii
Luffa cylindrica
Lycium cinereum
Macadamia ternifolia
Manihot esculenta
Manilkara concolor
Manilkara discolor
Manilkara mochisia
Mariscus congestus
Marrubium vulgare
Matricaria chamomilla
Matricaria recutita
Maytenus senegalensis
Melaleuca alternifolia
Melia azedarach
Melianthus comosus
Melianthus elongatus
Melianthus major
Melianthus pectinatus
Mentha longifolia
Merxmuellera drakensbergensis
Merxmuellera macowanii
Mesembryanthemum barkleyi
Mesembryanthemum crystallinum
Mestoklema tuberosum
Millettia grandis
Millettia stuhlmannii
Millettia sutherlandii
Mimetes fimbriifolius
Mimetes hirtus
Mimetes stokoei
Mimusops caffra
Mimusops obovata
Mimusops zeyheri
Miscanthus capensis
Miscanthus junceus
Momordica foetida
Monadenium lugardiae
Monanthotaxis caffra
Mondia whitei
Monochlamys albicans
Moraea edulis
Moraea fugax
Moraea viscaria
Morus alba
Morus mesozygia
Nenax microphylla
Neorautanenia amboensis
Neorautanenia ficifolia
Neorautanenia mitis
Nicotiana glauca
Nicotiana tabacum
Noltea africana
Nylandtia spinosa
Nymania capensis
Nymphaea capensis
Nymphaea nouchali
Nymphaea nouchali var. caerulea
Ocimum basilicum
Ocimum canum
Ocotea bullata
Olea capensis
Olea europaea subsp. africana
Olea europaea subsp. europaea
Olinia ventosa
Oncosiphon suffruticosum
Opuntia ficus-indica
Orthanthera jasminiflora
Oryza sativa
Oryzidium barnardii
Osmitopsis asteriscoides
Osyris compressa
Osyris lanceolata
Osyris quadripartita
Oxalis cf. tricolor
Oxalis convexula
Oxalis copiosa
Oxalis pes-caprae
Oxalis semiloba
Oxalis smithiana
Panax quinquefolium
Pancratium tenuifolium
Panicum miliaceum
Panicum subalbidum
Papaver somniferum
Pappea capensis
Parinari capensis
Parinari curatellifolia
Parmelia hottentotta
Passerina filiformis
Passerina vulgaris
Passiflora edulis
Passiflora edulis var. flava
Pavonia senegalensis
Pectinaria maughanii
Pedistylis galpinii
Pelargonium antidysentericum
Pelargonium betulinum
Pelargonium capitatum
Pelargonium carnosum
Pelargonium citronellum
Pelargonium crispum
Pelargonium cucullatum
Pelargonium fulgidum
Pelargonium gibbosum
Pelargonium graveolens
Pelargonium incrassatum
Pelargonium luridum
Pelargonium odoratissimum
Pelargonium pulchellum
Pelargonium radens
Pelargonium rapaceum
Pelargonium reniforme
Pelargonium sidoides
Pelargonium tomentosum
Pelargonium triste
Pellaea calomelanos
Peltophorum africanum
Pennisetum americanum
Pennisetum glaucum
Pennisetum typhoides
Pentanisia prunelloides
Pentarrhinum insipidum
Pentaschistis pallida
Pergularia daemia
Plumbago auriculata
Plumbago zeylanica
Podocarpus falcatus
Podocarpus latifolius
Pollichia campestris
Polygala leptophylla
Populus alba
Populus canescens
Populus deltoides
Populus tremula
Portulaca oleracea
Portulacaria afra
Pouzolzia mixta
Protea nitida
Protea repens
Prunus africana
Pseudobersama mossambicensis
Psidium cattleianum
Psidium guajava
Psidium littorale
Psilocaulon coriarium
Psilocaulon junceum
Ptaeroxylon obliquum
Pteridium aquilinum
Pterocarpus angolensis
Pterocarpus rotundifolius
Pterocelastrus tricuspidatus
Pterodiscus speciosus
Pteronia camphorata
Pteronia camphorata var. camphorata
Pteronia incana
Pteronia onobromoides
Punica granatum
Quaqua hottentotorum
Quaqua incarnata
Quaqua incarnata subsp. lutea
Quaqua mammillaris
Rabiea albinota
Rafnia acuminata
Rafnia amplexicaulis
Rafnia angulata
Rafnia perfoliata
Raphia australis
Raphia vinifera
Raphionacme burkei
Raphionacme hirsuta
Rauvolfia caffra
Rauvolfia serpentina
Rauvolfia tetraphylla
Rauvolfia vomitoria
Restio triticeus
Rhoicissus digitata
Rhoicissus tomentosa
Rhoicissus tridentata
Rhoicissus tridentata subsp. cuneifolia
Rhus burchellii
Rhus ciliata
Rhus incisa
Rhus lancea
Rhus lucida
Rhus pendulina
Rhus tenuinervis
Rhus tomentosa
Rhus undulata
Rhus viminalis
Ricinodendron rautanenii
Ricinus communis
Romulea rosea
Rosa x damascena
Rubia cordifolia
Rubus cuneifolius
Rubus pinnatus
Rubus rigidus
Rumex crispus
Rumex lanceolatus
Rumex nepalensis
Rumex sagittatus
Ruta graveolens
Saccharum officinarum
Saccharum spontaneum
Schoenoplectus scirpoideus
Schotia afra var. afra
Schotia afra var. angustifolia
Schotia brachypetala
Schotia latifolia
Scilla natalensis
Scirpus corymbosus
Scirpus dioecus
Scirpus inanis
Scirpus spathaceus
Sclerocarya birrea
Sclerocarya birrea subsp. caffra
Sclerochiton ilicifolius
Sechium edule
Securidaca longepedunculata
Selaginella dregei
Senecio serratuloides
Senna italica
Sesamum capense
Sesamum indicum
Sesamum triphyllum
Sesamum triphyllum var. triphyllum
Setaria italica
Setaria sphacelata
Setaria verticillata
Sideroxylon inerme
Siphonochilus aethiopicus
Sisymbrium capense
Sisymbrium thellungii
Sisymbrium turczaninowii
Solanum aculeastrum
Solanum capense
Solanum carolinense
Solanum chenopodioides
Solanum melanocerasum
Solanum nigrum
Solanum retroflexum
Solanum supinum
Solanum tuberosum
Sorghum bicolor
Sorghum bicolor subsp. arundinaceum
Sorghum bicolor subsp. bicolor
Sorghum caffrorum
Sorghum dochna
Sorghum verticilliflorum
Sparrmannia africana
Sphenostylis marginata
Spirostachys africana
Sporobolus fimbriatus
Stachys thunbergii
Stangeria eriopus
Stapelia gigantea
Steganotaenia araliacea
Stenotaphrum secundatum
Stipagrostis brevifolia
Stipagrostis uniplumis
Stipagrostis uniplumis var. uniplumis
Strelitzia nicolai
Tagetes minuta
Talinum arnotii
Talinum caffrum
Talinum crispatulum
Tamarindus indica
Tamarix usneoides
Tapiphyllum parvifolium
Tarchonanthus camphoratus
Tecomaria capensis
Tectona grandis
Terminalia sericea
Tetragonia tetragonioides
Thamnochortus fruticosus
Thamnochortus insignis
Thamnochortus lucens
Thamnochortus spicigerus
Thamnosma africana
Thea sinensis
Themeda triandra
Trachyandra ciliata
Trachyandra divaricata
Trachyandra falcata
Trachyandra hirsuta
Trachyandra hispida
Trichilia dregeana
Trichilia emetica
Trichocladus ellipticus
Trichodiadema stellatum
Triticum aestivum
Triticum durum
Tulbaghia alliacea
Tulbaghia violacea
Turraea floribunda
Turraea nilotica
Turraea obtusifolia
Tylosema esculenta
Tylosema fassoglense
Typha capensis
Uapaca kirkiana
Urginea altissima
Urginea brachystachys
Urginea epigea
Urginea robusta
Urochloa mosambicensis
Urtica dioica
Valeriana capensis
Valeriana officinalis
Vangueria infausta
Vernonia adoensis
Vernonia amygdalina
Vernonia glaberrima
Vigna radiata
Vigna subterranea
Vigna unguiculata
Vigna vexillata
Viscum anceps
Viscum capense
Vitellariopsis marginata
Vitis vinifera
Voandzeia subterranea
Warburgia salutaris
Widdringtonia cedarbergensis
Widdringtonia nodiflora
Widdringtonia whytei
Withania somnifera
Ximenia americana
Ximenia caffra
Xysmalobium undulatum
Zantedeschia albomaculata
Zanthoxylum capense
Zanthoxylum ovatifoliolatum
Zea mays
Zingiber officinale
Ziziphus abyssinica
Ziziphus mauritiana
Ziziphus mucronata
