cid,title,series,state,score,manuscript_words,book_md_lines,chapter_files,canon_files,has_epub,has_pdf,has_rich_cover,project_status,published,in_curated,root_rel,notes
modern-sherlock-5,The Reichenbach Protocol,Faithful Modern,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/modern-sherlock-5,
nan-madol,The Spaces Between,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/nan-madol,
nazca-lines,From the Air,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/nazca-lines,
newark-earthworks,The Eighteen-Year Almanac,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/newark-earthworks,
poverty-point,Ninety Days,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/poverty-point,
puma-punku,The Unknown Corner,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/puma-punku,
sajama-lines,The Long Straight,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/sajama-lines,
serpent-mound,The Serpent's Age,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/serpent-mound,
suppressed-tech,The Quiet Men,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/suppressed-tech,
the-salt-veil-2,The First Key,The Salt Veil,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/the-salt-veil-2,
the-salt-veil-3,The Abyss,The Salt Veil,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/the-salt-veil-3,
the-salt-veil-4,Open War,The Salt Veil,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/the-salt-veil-4,
the-salt-veil-5,The Circle Closes,The Salt Veil,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/the-salt-veil-5,
uffington,The Scouring,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/uffington,
yonaguni,Made or Not,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/yonaguni,
the-amber-winter-2,Die Seeweg,Winter sonder Einde,MISSING,0,0,0,0,0,0,0,0,,0,1,_comingsoon/the-amber-winter-2,root dir missing on disk
the-amber-winter-3,Die Hoë Stoel,Winter sonder Einde,MISSING,0,0,0,0,0,0,0,0,,0,1,_comingsoon/the-amber-winter-3,root dir missing on disk
the-amber-winter-4,Die Lang Donker,Winter sonder Einde,MISSING,0,0,0,0,0,0,0,0,,0,1,_comingsoon/the-amber-winter-4,root dir missing on disk
the-amber-winter-5,Die Ou Een by die Vuur,Winter sonder Einde,MISSING,0,0,0,0,0,0,0,0,,0,1,_comingsoon/the-amber-winter-5,root dir missing on disk
dust-throne,Daughters of the Dust Throne,The Dust Throne,SERIAL_LIVE,33,9898,466,6,0,0,0,1,,1,1,dust-throne,
australia-outback,The Songlines of Stone,History Before Time,LIVE,100,71927,2262,20,11,1,1,1,drafting,1,1,history-before-time/books/australia-outback,
book1-africa,The Calendar of Stone,History Before Time,LIVE,100,82475,2671,21,14,1,1,1,drafting,1,1,history-before-time/books/book1-africa,
book2-india,The Indian One,History Before Time,LIVE,100,75216,2244,20,12,1,1,1,drafting,1,1,history-before-time/books/book2-india,
book3-india-deccan,The Temple in the Rock — Deccan,History Before Time,LIVE,100,68869,2129,18,12,1,1,1,drafting,1,1,history-before-time/books/book3-india-deccan,
book4-india-tamil,The Shore That Remembers,History Before Time,LIVE,100,67373,2119,18,12,1,1,1,drafting,1,1,history-before-time/books/book4-india-tamil,
book5-egypt,The Engineer of the Gods,History Before Time,LIVE,100,72894,2209,20,10,1,1,1,drafting,1,1,history-before-time/books/book5-egypt,
henry-sugar,Henry Sugar,Faithful Modern,LIVE,100,35832,1564,21,17,1,1,1,first-draft,1,1,henry-sugar,
jakobus-broken-crescent,The Broken Crescent,History Before Time,LIVE,100,43170,1603,17,9,1,1,1,seed,1,1,history-before-time/books/jakobus-broken-crescent,
jakobus-longyou,The Straight Darkness,History Before Time,LIVE,100,34231,1260,17,9,1,1,1,seed,1,1,history-before-time/books/jakobus-longyou,
jakobus-petra,The Rose in the Rock,History Before Time,LIVE,100,30653,1199,16,9,1,1,1,drafting,1,1,history-before-time/books/jakobus-petra,
no-fear-cycle,Ordinance Pending,The No-Fear Cycle,LIVE,100,37691,4387,41,12,1,1,1,,1,1,no-fear-cycle,
project-stargate,The Men Who Opened the Door,History Before Time,LIVE,100,50461,2731,18,17,1,1,1,seed,1,1,history-before-time/books/project-stargate,
relic,RELIC,The African Gold Trilogy,LIVE,100,88142,4158,26,21,1,1,1,,1,1,relic,
resonance,RESONANCE,The African Gold Trilogy,LIVE,100,70640,4672,17,18,1,1,1,,1,1,resonance,
revelation,REVELATION,The African Gold Trilogy,LIVE,100,49128,2105,18,16,1,1,1,,1,1,revelation,
the-amber-winter,Die Vuur in die Donker,Winter sonder Einde,LIVE,100,54490,1770,28,13,1,1,1,,1,1,the-amber-winter,
the-dreaming,The Dreaming,Faithful Modern,LIVE,100,56207,1588,10,10,1,1,1,,1,1,the-dreaming,
unheard-mongolia,The Felt and the Sky,The Unheard,LIVE,100,54628,1429,24,12,1,1,1,"DRAFT COMPLETE (23 ch + backmatter, ~44k, 2026-06-14) — sensitivity read before pub",1,1,the-unheard/books/mongolia-steppe,
apex-alphas,Apex Alphas,The Synthesis,LIVE,93,20529,833,6,3,1,1,1,,1,1,history-before-time/books/apex-alphas,
crop-circles,The Field of Doors,Not a Potato,LIVE,93,25544,746,13,5,1,1,1,,1,1,history-before-time/books/crop-circles,
jakobus-silver-thread,The Silver Thread,History Before Time,LIVE,93,24447,590,18,3,1,1,1,drafting,1,1,history-before-time/books/jakobus-silver-thread,
jakobus-the-recitation,The Recitation,History Before Time,LIVE,93,19047,762,17,4,1,1,1,drafting,1,1,history-before-time/books/jakobus-the-recitation,
sheltering-desert,The Indifferent Desert,Non-fiction,LIVE,93,25435,843,17,7,1,1,1,"DRAFT COMPLETE (16 ch + backmatter, ~24k, 2026-06-14)",1,1,the-sheltering-desert,
the-loneliest,The Loneliest People in the World,Standalones,LIVE,93,16565,633,11,4,1,1,1,,1,1,the-loneliest,
unheard-japan,The Way That Was Invented,The Unheard,LIVE,93,63376,2708,20,6,1,1,1,,1,1,the-unheard/books/japan-ainu,
modern-sherlock,The Scarlet Thread,Faithful Modern,LIVE,85,36271,3409,18,0,1,1,1,,1,1,modern-sherlock,
the-jakobus-file,A Man They All Read Wrong,History Before Time,LIVE,85,51858,2099,29,0,1,1,1,,1,1,history-before-time/books/the-jakobus-file,
the-salt-veil,The Salt Veil,The Salt Veil,LIVE,85,118138,3419,18,0,1,1,1,,1,1,the-salt-veil,
the-song-of-the-self,The Song of the Self,Non-fiction,LIVE,85,21911,984,0,0,1,1,1,,1,1,history-before-time/companions/the-song-of-the-self,
voynich-manuscript,The Hand That Wrote It,Not a Potato,LIVE,85,58375,2502,22,0,1,1,1,,1,1,voynich-manuscript,
wrath-of-achilles,The Wrath of Achilles,Non-fiction,LIVE,85,25621,1207,0,0,1,1,1,,1,1,history-before-time/companions/the-wrath-of-achilles,
null-horizon,NULL HORIZON,Non-fiction,LIVE,68,12902,1590,23,3,1,1,1,,1,1,non-terrestrial-officers,
southern-coast,Scratching the Surface,History Before Time,LIVE,61,9910,414,5,5,1,1,1,,1,1,history-before-time/books/southern-coast,
the-first-unplugged,The First Unplugged,Faithful Modern,LIVE,22,0,0,0,0,1,0,1,,1,1,_comingsoon/the-first-unplugged,
bird-of-paradise-flower,The Flower That Watches the Sky,Children's Library,LIVE,14,0,0,0,1,0,0,1,,1,1,bird-of-paradise-flower,
how-fire-came,How Fire Came to the People,Children's Library,LIVE,14,0,0,0,1,0,0,1,,1,1,how-fire-came,
how-king-lion,King Lion and the Birds Who Stole the Sky,Children's Library,LIVE,14,0,0,0,1,0,0,1,,1,1,how-king-lion,
how-zebra-got-stripes,How the Zebra Got Her Stripes,Children's Library,LIVE,14,0,0,0,1,0,0,1,,1,1,how-zebra-got-stripes,
the-little-key,The Little Key,Children's Library,LIVE,14,0,0,0,1,0,0,1,,1,1,the-little-key,
why-elephant-trunk,How the Elephant Got His Long Nose,Children's Library,LIVE,14,0,0,0,1,0,0,1,,1,1,why-elephant-trunk,
